node_id,0,1,2,3,4,5,6,7,8,9
d292143,0,0.06827309,0.69442844,0,0,0,0,0,0,2
d563913,0,0.064257026,0.63649637,0,0,0,0,0,0,1
d392359,1,0.04016064,0.68923205,0,0,0,0,0,0,0
d426345,0,0.08032128,0.73507,0,0,0,1,0,0,1
d308856,0,0.06827309,0.7214732,0,0,0,0,0,0,1
d301792,0,0.04016064,0.5603117,0,0,0,1,0,0,1
d269870,1,0.036144577,0.6649252,0,0,0,0,0,0,0
d592591,0,0.060240965,0.61133164,0,0,0,0,0,0,1
d520654,0,0.092369474,0.66392535,1,0,0,0,0,0,2
d382893,0,0.032128513,0.6041161,0,0,0,0,0,0,0
d544315,0,0.052208837,0.57324445,0,0,0,0,0,0,2
d42007,0,0.072289154,0.67736536,0,0,0,0,0,0,1
d250486,0,0.07630522,0.6914612,0,0,0,0,0,1,0
d27200,0,0.08032128,0.6835306,0,0,0,0,0,0,2
d219435,0,0.09638554,0.7307247,0,0,0,0,0,1,1
d391422,0,0.016064256,0.5007015,0,0,0,0,0,0,0
d306650,0,0.04819277,0.6553196,0,0,0,0,0,0,1
d260256,0,0.02811245,0.55784196,0,0,0,0,0,0,0
d41403,1,0.036144577,0.6649252,0,0,0,0,0,0,0
d345384,0,0.06827309,0.71406245,0,0,0,0,0,1,0
d299290,0,0.072289154,0.6247986,0,0,0,0,0,1,2
d702855,0,0.0562249,0.67025185,0,0,0,0,0,0,0
d164287,0,0.10040161,0.7485652,0,0,0,1,0,0,1
d705863,0,0.04819277,0.70685893,0,0,0,0,0,0,0
d583700,0,0.10843374,0.74882555,0,0,0,0,0,0,2
d84455,0,0.052208837,0.67941415,0,0,0,0,0,0,1
d149613,0,0.02008032,0.44983387,0,0,0,0,0,0,0
d280405,0,0.06827309,0.60750115,0,0,0,0,0,0,1
d44945,0,0.04016064,0.6303299,0,0,0,0,0,0,1
d110549,0,0.12851405,0.81482035,0,0,0,0,0,1,2
d257957,0,0.09638554,0.7222925,0,0,0,0,0,1,1
d465232,0,0.08032128,0.73507,0,0,0,0,0,0,0
d367141,0,0.04016064,0.659781,0,0,0,0,0,0,0
d668541,0,0.07630522,0.6914612,0,0,0,0,0,2,1
d31950,0,0.036144577,0.5578044,0,0,0,0,0,0,1
d532427,0,0.06827309,0.6673836,0,0,0,1,0,0,2
d210706,1,0.032128513,0.5567877,0,0,0,1,0,0,0
d376241,0,0.064257026,0.6648934,0,0,0,0,0,1,0
d602771,0,0.124497995,0.7047721,0,0,0,0,0,0,2
d468840,0,0.044176705,0.6567401,0,0,0,0,0,0,0
d580015,0,0.084337346,0.707533,0,0,0,0,0,1,1
d350506,1,0.032128513,0.63847566,0,0,0,0,0,0,0
d692995,0,0.044176705,0.5913898,0,0,0,0,0,0,1
d132730,0,0.044176705,0.55352706,0,0,0,0,0,0,0
d228324,1,0.024096385,0.57737726,0,0,0,0,0,0,0
d353554,1,0.0562249,0.67025185,0,0,0,0,0,0,1
d478419,0,0.052208837,0.64600587,0,0,0,0,0,0,0
d43056,0,0.064257026,0.71390617,0,0,0,0,0,0,0
d140524,0,0.044176705,0.6085024,0,0,0,0,0,0,0
d368834,0,0.024096385,0.49491426,0,0,0,0,0,0,0
d578665,0,0.084337346,0.73647565,0,0,0,0,0,0,1
d348410,0,0.016064256,0.5007015,0,0,0,0,0,0,0
d653145,1,0.072289154,0.6890331,0,0,0,0,0,0,1
d552109,0,0.12851405,0.76036173,0,0,0,0,0,1,1
d396191,0,0.024096385,0.57737726,0,0,0,0,0,0,0
d492525,0,0.04016064,0.6303299,0,0,1,0,0,0,0
d418011,1,0.04016064,0.5491955,0,0,0,0,0,0,0
d366969,0,0.092369474,0.661142,0,0,0,0,0,0,0
d484296,0,0.044176705,0.6463651,0,0,0,0,0,0,1
d349573,0,0.08835341,0.71638703,0,0,0,0,0,0,1
d299195,0,0.060240965,0.65760493,0,0,0,0,0,0,1
